ID,cms_name,version_range,patch_commit_parent_id,patch_commit_id,cms_url,sink_file,version_header,version_header_sha
29,FusionPBX?,4.4.1,44edbfe7a7e256d1b80448026617365a40c92c61,fe504b83db80ebae30c982770f0f0b200b88cbe9,https://github.com/fusionpbx/fusionpbx,,4.4.1,5a48f7e
30,FusionPBX?,up to v4.5.7,2ce613f1e9fe8ffab7a4cb9d1384444622285335,fc8e4e2d278ce6bffff21b04248d469a59eb8cd4,https://github.com/fusionpbx/fusionpbx,,4.4.1,5a48f7e
31,FusionPBX?,up to v4.5.7,2b44f9e3e8c6a737b1abad784a2e66d179e1cfff,d6ea02d896b2c57dec491ee3b36ec102639270be,https://github.com/fusionpbx/fusionpbx,,4.4.1,5a48f7e
32,FusionPBX?,up to v4.5.7,50850bbc53e1ed8ce5c3a0ab1354a6bbbd0a23a8,cd4632b46c62855f7e1c1c93d20ffd64edcb476e,https://github.com/fusionpbx/fusionpbx,,4.4.1,5a48f7e
33,FusionPBX?,up to v4.5.7,cc820b2eb12a3b7070afdcb7f977f70a1d49ce49,ccdb27536d3549b5c0c317e3665fff231631ec77,https://github.com/fusionpbx/fusionpbx,,4.4.1,5a48f7e
34,FusionPBX?,up to v4.5.7,913ad234cf145a55e5f2faaab08d776d83c1699b,cc820b2eb12a3b7070afdcb7f977f70a1d49ce49,https://github.com/fusionpbx/fusionpbx,,4.4.1,5a48f7e
35,FusionPBX?,up to v4.5.7,d0714d439e208a3d0d5551954b1ea7ae0eb02ab9,c9f87dc16def2135930ebbfd667651cc3f6de2ff,https://github.com/fusionpbx/fusionpbx,,4.4.1,5a48f7e
36,FusionPBX?,up to v4.5.7,d3679bbeface57a21f6623cbc193b04a7fc0a885,c48a160af53352ad1a43518b7d0faab16b8dfbcc,https://github.com/fusionpbx/fusionpbx,,4.4.1,5a48f7e
37,FusionPBX?,up to v4.5.7,80f2ce087ab1343f1ff3bf8a058eed9b5027eb8c,bcc75d63aa5b721f699a2b416425943ad7707825,https://github.com/fusionpbx/fusionpbx,,4.4.1,5a48f7e
38,FusionPBX?,4.4.1,fe504b83db80ebae30c982770f0f0b200b88cbe9,b584973e73a4d25be623c9748dd9817f69422ecc,https://github.com/fusionpbx/fusionpbx,,4.4.1,5a48f7e
39,FusionPBX?,4.4.1,9e837fadecdd5199819a949b5b1bd84b19f716f2,aea1abaeb12f69dc22967395c528fb2434e316c1,https://github.com/fusionpbx/fusionpbx,,4.4.1,5a48f7e
40,FusionPBX?,up to v4.5.7,bcc75d63aa5b721f699a2b416425943ad7707825,a76d9637e31a70060ecc38786246a8b1c9178322,https://github.com/fusionpbx/fusionpbx,,4.4.1,5a48f7e
41,FusionPBX?,up to v4.5.7,fc8e4e2d278ce6bffff21b04248d469a59eb8cd4,83622c4ee1d9dd1913e9fb01ce8f060b46a5768a,https://github.com/fusionpbx/fusionpbx,,4.4.1,5a48f7e
42,FusionPBX?,up to v4.5.7,ccdb27536d3549b5c0c317e3665fff231631ec77,80f2ce087ab1343f1ff3bf8a058eed9b5027eb8c,https://github.com/fusionpbx/fusionpbx,,4.4.1,5a48f7e
43,FusionPBX?,up to v4.5.7,cd4632b46c62855f7e1c1c93d20ffd64edcb476e,021ff8f8e51cd1254d19e88e7aedc4b795067f8d,https://github.com/fusionpbx/fusionpbx,,4.4.1,5a48f7e
